provnum,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating
35283,5,5,3,4,4
35284,4,3,3,4,3
35285,4,3,3,4,4
35286,5,4,2,5,5
35287,5,5,4,5,5
35288,5,5,5,3,3
35289,,,,,
35290,,,,,
45070,4,3,2,4,3
45098,2,2,1,4,4
45125,5,4,5,5,5
45134,1,1,3,3,2
45135,2,1,2,4,3
45138,1,1,1,3,2
45139,3,3,1,4,4
45140,3,2,5,2,1
45142,1,1,1,3,2
45143,1,1,1,4,4
45144,2,1,2,4,4
45145,5,5,2,5,5
45146,4,3,3,4,4
45147,5,4,5,4,3
45148,5,5,3,4,4
45149,3,3,4,3,3
45151,4,4,4,4,3
45153,4,3,4,4,4
45155,3,4,1,4,3
45157,3,2,5,2,1
45158,2,2,3,3,3
45163,4,4,2,3,2
45165,4,4,3,3,2
45166,2,1,5,4,3
45167,2,2,2,3,2
45168,2,2,1,4,3
45170,5,4,5,4,4
45172,1,2,4,1,1
45173,3,3,4,3,3
45176,4,4,2,3,2
45177,3,3,1,4,4
45178,4,4,4,3,2
45180,2,2,1,4,4
45181,3,3,1,4,3
45182,3,2,5,3,3
45183,5,3,5,4,4
45184,4,2,5,4,3
45187,5,3,5,4,3
45189,1,1,4,3,5
45190,3,2,2,4,4
45191,5,3,5,4,4
45192,1,1,2,3,3
45194,1,2,1,3,2
45195,4,4,4,3,3
45196,2,2,4,3,3
45197,5,5,3,4,4
45198,1,2,1,,
45199,4,3,5,3,2
45201,5,4,5,3,2
45202,2,1,5,4,4
45203,1,2,1,3,3
45207,4,2,5,4,3
45208,5,5,2,2,1
45209,5,4,5,3,3
45211,1,2,1,3,2
45212,1,1,1,3,3
45214,5,3,5,4,3
45216,4,4,4,4,4
45217,3,2,3,4,4
45218,4,4,2,4,4
45219,4,3,5,3,2
45220,1,1,4,1,1
45221,3,2,3,4,3
45222,4,2,5,4,3
45227,2,2,3,3,2
45228,2,1,3,4,4
45229,3,3,1,4,4
45232,2,2,3,3,2
45235,3,3,2,2,4
45236,3,3,3,3,2
45239,4,3,5,3,2
45241,5,3,5,4,3
45242,5,5,4,3,3
45243,5,4,5,4,4
45244,5,5,4,3,2
45245,4,4,4,3,2
45246,4,4,2,4,4
45247,4,4,4,4,3
45248,5,4,5,3,3
45250,3,4,1,4,4
45254,3,2,5,3,2
45256,4,4,2,3,2
45259,1,1,1,4,3
45266,4,3,5,3,1
45267,5,5,4,3,2
45268,2,2,4,3,2
45269,4,4,4,4,3
45270,5,5,3,3,3
45271,4,4,2,3,2
45275,5,4,5,4,4
45277,1,1,2,3,2
45280,5,4,5,3,3
45284,5,4,5,3,3
45287,4,5,1,4,4
45288,2,2,3,3,3
45289,2,2,2,2,1
45290,3,3,2,3,2
45295,1,2,2,1,1
45297,5,5,2,5,5
45300,2,2,2,2,2
45301,5,5,3,4,3
45302,3,3,4,3,3
45303,5,3,5,5,5
45304,5,3,5,4,4
45305,2,2,2,3,3
45306,4,4,4,3,2
45307,5,5,2,5,5
45308,4,4,4,4,4
45311,2,1,4,4,3
45312,1,1,4,1,1
45313,1,1,1,3,3
45314,1,1,1,5,5
45315,4,2,5,4,3
45317,3,2,3,4,3
45318,3,2,3,4,3
45321,3,2,4,4,3
45322,5,3,5,4,4
45323,1,2,1,3,2
45326,3,3,4,3,2
45327,4,3,5,3,3
45332,2,3,1,3,3
45334,3,2,3,4,3
45337,1,1,2,3,1
45338,3,3,4,3,2
45339,4,4,4,4,3
45340,3,4,1,4,3
45341,1,1,1,4,4
45342,5,4,5,3,2
45343,4,2,5,4,3
45345,2,1,2,4,3
45346,1,2,1,3,3
45348,1,1,1,4,3
45350,4,3,2,4,4
45351,2,2,2,3,2
45352,4,4,5,1,1
45353,2,2,4,3,3
45354,3,4,2,1,1
45356,4,4,2,3,2
45357,3,2,4,4,3
45358,4,3,5,3,3
45359,1,1,1,3,2
45361,2,1,3,4,3
45363,1,1,2,3,3
45364,5,5,5,3,2
45365,2,1,2,4,4
45366,5,5,5,3,2
45367,5,3,5,4,4
45369,4,4,4,4,3
45370,5,5,3,3,2
45371,4,4,3,4,4
45372,4,2,5,4,4
45373,4,4,3,4,4
45374,2,1,4,5,5
45376,4,4,4,3,1
45377,5,5,3,4,3
45378,1,2,1,2,1
45379,2,1,4,4,3
45380,4,3,5,3,3
45381,3,3,4,3,1
45382,2,1,4,4,3
45383,4,4,4,3,2
45384,5,5,3,2,1
45385,1,1,2,2,1
45386,1,2,1,2,1
45387,5,3,5,4,4
45390,2,2,3,3,2
45391,4,3,5,2,1
45392,2,3,1,3,2
45393,5,4,5,3,3
45394,5,5,3,3,2
45396,4,4,4,4,3
45398,4,3,5,3,3
45401,4,5,1,3,2
45402,5,5,5,4,4
45403,3,2,4,4,4
45404,2,1,2,4,3
45406,4,3,4,4,4
45407,5,5,2,3,3
45408,4,3,5,3,2
45409,4,3,2,4,3
45410,2,2,1,4,3
45411,4,3,4,4,4
45412,3,3,2,3,2
45413,5,5,3,4,3
45414,4,4,2,4,3
45415,3,3,2,3,2
45416,4,3,4,4,3
45417,4,3,4,5,5
45418,5,4,5,3,2
45419,3,2,5,3,2
45421,5,4,5,4,4
45422,4,2,5,4,4
45424,3,3,4,3,3
45425,2,1,5,4,3
45427,5,4,5,4,3
45428,2,2,1,4,4
45430,4,2,5,4,4
45431,1,1,2,,
45432,1,1,3,2,1
45433,3,3,4,3,3
45434,3,3,3,2,2
45435,5,4,5,4,3
45436,1,1,2,3,2
45437,4,3,4,4,3
45438,2,2,3,2,1
45439,5,4,5,3,2
45440,3,3,2,2,1
45441,5,5,2,4,4
45442,1,1,4,1,1
45443,1,1,3,3,2
45445,5,5,4,4,4
45446,1,1,2,3,1
45447,3,2,5,3,2
45448,3,2,2,4,3
45449,2,2,3,3,1
45450,2,1,3,4,3
45451,1,1,2,3,3
45452,1,1,1,1,2
45453,4,5,1,3,2
45454,4,4,4,4,3
45455,3,2,5,3,2
45456,2,1,5,3,2
45457,1,1,4,2,1
45458,,,,,
45459,,,,,
45460,,,,,
04A158,3,2,5,3,2
04A293,4,4,2,4,4
4.00E+90,4,4,3,4,4
55001,4,2,5,4,4
55002,5,3,5,4,4
55003,2,3,1,3,3
55008,5,5,5,5,5
55011,4,5,1,3,2
55013,2,2,3,3,2
55014,5,3,5,5,5
55016,5,3,5,5,5
55017,2,1,4,4,4
55022,5,3,5,5,5
55028,4,4,4,3,2
55032,3,2,5,3,3
55034,5,3,5,4,4
55036,5,3,5,5,5
55039,5,5,5,3,3
55041,4,3,5,3,3
55042,1,1,4,3,3
55045,1,1,4,3,2
55047,4,4,2,4,4
55049,5,5,4,5,5
55052,2,1,5,3,3
55056,5,3,5,4,4
55057,4,3,5,3,3
55060,1,1,4,3,3
55064,5,4,5,4,5
55066,3,3,1,5,5
55067,3,2,5,2,2
55070,4,2,5,4,4
55072,1,1,4,3,2
55074,4,3,3,4,4
55076,2,1,4,4,3
55077,1,1,2,3,3
55078,3,2,4,4,4
55079,5,3,5,4,4
55084,4,4,3,2,1
55085,5,5,4,4,5
55092,2,1,2,4,4
55093,2,1,4,4,4
55099,5,5,5,5,5
55104,5,3,5,4,4
55105,3,2,5,2,2
55107,5,5,5,5,5
55109,5,4,5,4,4
55111,3,2,4,4,4
55114,5,5,5,4,4
55115,3,2,4,4,4
55116,5,4,5,5,5
55119,5,4,5,4,4
55121,2,1,5,2,2
55123,5,3,5,4,3
55126,3,2,5,3,3
55129,5,4,5,,
55135,4,3,5,2,2
55136,4,4,4,4,4
55139,4,2,5,4,3
55141,4,3,4,4,4
55142,3,2,5,,
55146,2,1,5,5,5
55147,4,3,5,3,3
55150,4,3,5,3,3
55153,3,2,5,3,3
55155,2,2,2,3,2
55156,5,5,5,4,4
55157,3,3,3,2,2
55160,2,1,5,4,5
55161,2,2,4,3,2
55162,5,3,5,4,4
55163,5,3,5,4,4
55167,2,1,5,2,1
55168,5,4,5,4,4
55169,5,3,5,5,5
55170,3,3,4,3,3
55173,5,5,5,3,3
55175,3,2,3,4,5
55181,2,2,5,1,1
55182,2,1,5,4,4
55183,2,1,2,4,3
55185,5,5,3,3,3
55187,5,3,5,4,4
55188,5,3,5,4,4
55189,5,3,5,4,4
55191,5,5,5,2,2
55192,5,4,5,2,1
55196,4,2,5,4,3
55199,2,1,4,4,3
55201,3,3,5,1,1
55202,4,3,5,3,2
55203,5,3,5,4,3
55204,5,5,3,3,2
55206,2,2,4,2,2
55208,1,1,4,3,2
55210,5,4,5,5,5
55211,3,2,2,5,5
55212,5,4,5,3,3
55213,3,2,5,3,2
55215,5,3,5,4,3
55222,3,2,5,3,4
55223,4,2,5,5,5
55237,5,3,5,5,5
55239,3,2,2,4,4
55240,4,3,5,3,3
55241,4,3,3,4,4
55242,5,5,5,4,4
55247,4,2,5,4,4
55249,5,5,5,2,2
55252,3,2,5,3,2
55253,2,1,4,4,3
55255,1,1,4,3,3
55256,4,3,3,4,4
55258,2,2,2,3,3
55259,4,3,3,4,3
55261,3,2,5,3,2
55262,5,4,5,5,5
55268,2,2,4,3,4
55271,5,5,4,2,3
55276,3,2,5,3,4
55280,3,2,3,4,5
55282,4,2,5,4,4
55283,5,5,5,5,5
55286,5,4,5,3,4
55287,3,2,5,3,3
55288,5,3,5,4,4
55289,5,4,5,3,2
55292,4,4,4,4,4
55293,2,1,4,4,3
55296,3,3,3,3,4
55297,5,4,5,3,3
55298,5,4,5,4,4
55299,1,1,4,3,3
55303,5,5,5,5,5
55304,3,2,3,4,4
55305,4,4,3,4,4
55307,2,1,3,4,3
55308,4,3,5,3,3
55310,5,4,5,3,2
55311,3,2,5,3,3
55315,4,3,5,2,4
55316,5,3,5,4,4
55318,3,2,4,4,4
55322,1,1,3,3,3
55328,4,3,5,3,4
55329,3,3,5,1,1
55330,4,3,5,3,2
55331,3,2,2,5,5
55334,3,2,3,4,4
55335,5,4,5,4,5
55338,4,4,2,4,4
55341,4,4,4,4,5
55342,2,1,5,4,4
55344,2,1,5,3,2
55350,1,1,4,3,2
55353,5,4,5,5,5
55354,3,2,3,4,5
55356,5,4,3,5,5
55360,5,3,5,4,3
55361,4,2,5,4,3
55364,1,1,4,3,2
55367,5,4,5,4,4
55372,2,2,4,2,2
55374,2,1,5,4,3
55376,4,2,5,4,3
55387,5,4,5,4,4
55388,5,3,5,4,4
55394,4,3,5,3,3
55401,3,3,5,1,1
